name,neighbourhood,latitude,longitude,room_type,minimum_nights,price,price_per_night,number_of_reviews,last_review,reviews_per_month
Splendid living in Bucktown/Wicker Park,Logan Square,41.91603276,-87.67119086,Entire home/apt,1,$130.00,$130.00,34,16/10/2016,1.09
Logan Square - LPs + Steps From The Blue Line,Logan Square,41.91706927,-87.68880139,Entire home/apt,2,$125.00,$62.50,0,,
"The ""Chicago"" Room in Logan Square",Logan Square,41.91515198,-87.69440973,Private room,2,$36.00,$18.00,33,30/04/2017,6.27
Landmark Tree House,Logan Square,41.92835481,-87.70325785,Entire home/apt,2,$110.00,$55.00,24,11/10/2016,0.69
"One or Two Rooms - LoganSquare, 20 Min To Downtown",Logan Square,41.91601257,-87.69838044,Private room,2,$35.00,$17.50,26,25/04/2017,1.92
The Great Utopia in Logan Square,Logan Square,41.92569645,-87.69790069,Private room,1,$50.00,$50.00,50,30/11/2016,1.49
Main Master Bedroom with Spacious Living Area,Logan Square,41.91860888,-87.68824766,Private room,1,$60.00,$60.00,9,24/04/2017,1.17
Private Room,Logan Square,41.91841939,-87.67366608,Private room,1,$150.00,$150.00,1,01/06/2015,0.04
Stylish & Artsy Room in Vintage Chicago Flat,Logan Square,41.91515101,-87.68791142,Private room,2,$45.00,$22.50,50,23/04/2017,6.05
Logan Square 2bed Apartment,Logan Square,41.9257037,-87.7036028,Entire home/apt,2,$165.00,$82.50,31,19/03/2017,3.21
Townhouse in HEART of Logan Square!,Logan Square,41.92325694,-87.70246381,Entire home/apt,2,$193.00,$96.50,36,23/04/2017,3.32
Charming Urban Cottage in Bucktown,Logan Square,41.91888181,-87.68528849,Entire home/apt,3,$145.00,$48.33,47,07/05/2017,2.47
2 BR Duplex close to subway and 606,Logan Square,41.91541782,-87.68806992,Entire home/apt,10,$150.00,$15.00,2,13/06/2016,0.18
Elegant Logan Square Walk Up,Logan Square,41.91513495,-87.7060631,Entire home/apt,1,$87.00,$87.00,35,04/05/2017,2.12
AirBnBEATLES! Private room in Logan Square,Logan Square,41.9254922,-87.69815798,Private room,1,$32.00,$32.00,71,08/05/2017,7.05
Great neighborhood apartment in Logan Square,Logan Square,41.92712853,-87.71786588,Entire home/apt,1,$100.00,$100.00,24,07/05/2017,3.6
Logan Square Studio,Logan Square,41.93012939,-87.70236032,Entire home/apt,2,$85.00,$42.50,95,07/05/2017,4.02
"Big room w/ Queen bed, Futon, TV",Logan Square,41.91843823,-87.67829547,Private room,1,$99.00,$99.00,0,,
Private home near freeway and metra/metro lines,Logan Square,41.92158524,-87.67749274,Entire home/apt,2,$249.00,$124.50,0,,
22. Spacious and Beautiful,Logan Square,41.92142255,-87.70282176,Entire home/apt,5,$125.00,$25.00,12,19/01/2017,0.98
Bohemian Artist's 1BR Steps to Bars & Blue Line,Logan Square,41.92413456,-87.69912644,Entire home/apt,1,$100.00,$100.00,29,30/04/2017,5.76
"Logan Sq Apt, Close to the Train",Logan Square,41.91891127,-87.69902166,Entire home/apt,2,$119.00,$59.50,64,16/04/2017,1.04
West Buck Town,Logan Square,41.92138689,-87.68921159,Entire home/apt,3,$105.00,$35.00,6,06/03/2016,0.24
Logan Square_ private room/suite_ clean and quiet,Logan Square,41.92048123,-87.69289964,Private room,1,$90.00,$90.00,1,06/05/2017,1
Jungle bedroom in Logan Square!,Logan Square,41.93078396,-87.69554667,Private room,1,$65.00,$65.00,4,16/04/2017,0.92
Spacious Logan Square Garden Apt,Logan Square,41.93029666,-87.72232549,Entire home/apt,1,$70.00,$70.00,142,26/04/2017,5.9
Spacious 2BR Vintage Beauty in Logan Square,Logan Square,41.92654492,-87.71252455,Entire home/apt,2,$129.00,$64.50,4,06/05/2017,2.26
Private & Whole Floor to Yourself!,Logan Square,41.92470751,-87.69499791,Private room,2,$100.00,$50.00,43,07/05/2017,2.43
Bright and Sunny Best Location,Logan Square,41.9156441,-87.68790174,Private room,1,$49.00,$49.00,69,03/05/2017,5.95
Lovely + Spacious Boulevard Room,Logan Square,41.91636621,-87.70049828,Private room,2,$69.00,$34.50,10,01/08/2016,0.45
Private room in Logan Square,Logan Square,41.91866224,-87.6960854,Private room,2,$150.00,$75.00,13,25/07/2016,0.6
Modern Design 2BR Penthouse in Hip Logan Square,Logan Square,41.92278046,-87.71089556,Entire home/apt,2,$99.00,$49.50,44,30/04/2017,5.02
The Coziest and Comfiest Inn,Logan Square,41.91553215,-87.71289585,Private room,1,$65.00,$65.00,0,,
Comfy & Hip 2br Apartment in Logan,Logan Square,41.9234332,-87.71408032,Entire home/apt,1,$120.00,$120.00,13,07/05/2017,2.71
2 br Apt in great Bucktown location,Logan Square,41.91900162,-87.6792824,Entire home/apt,2,$175.00,$87.50,13,11/10/2016,0.54
beautiful logan square home,Logan Square,41.92152515,-87.71717053,Private room,2,$49.00,$24.50,2,17/07/2016,0.19
Luxry home Sleep 10 2BR w-Fplace!,Logan Square,41.93121167,-87.6919871,Entire home/apt,2,$177.00,$88.50,81,30/04/2017,4.47
Cozy room with private bathroom,Logan Square,41.9144713,-87.70960686,Private room,3,$69.00,$23.00,10,10/10/2016,0.43
"Cute, Sunny Logan Square Apartment",Logan Square,41.92388276,-87.7097949,Entire home/apt,2,$100.00,$50.00,35,17/02/2017,0.65
Logan Square Modern Vintage Garden,Logan Square,41.93065451,-87.70088542,Entire home/apt,2,$140.00,$70.00,182,24/04/2017,3.07
Comfortable Logan Square Apartment,Logan Square,41.92792865,-87.70395158,Private room,1,$82.00,$82.00,42,09/05/2017,2.35
Palmer Oasis,Logan Square,41.92114735,-87.70463522,Private room,1,$65.00,$65.00,14,07/05/2017,1.25
Sunny and Spacious Bucktown 1 BR,Logan Square,41.91735402,-87.67712019,Entire home/apt,1,$100.00,$100.00,38,16/04/2017,1.44
Huge 5BR 2BA Chicago Condo,Logan Square,41.91950091,-87.69126294,Entire home/apt,2,$199.00,$99.50,103,23/04/2017,3.94
Sunny corner in Logan Square,Logan Square,41.92146717,-87.71021032,Private room,1,$75.00,$75.00,3,07/05/2017,0.27
Big & Cozy 3BR in Logan Sq. - Full Bed Room,Logan Square,41.9167902,-87.69750261,Private room,1,$65.00,$65.00,0,,
Cozy Basics,Logan Square,41.92487645,-87.70351926,Entire home/apt,2,$100.00,$50.00,37,24/04/2017,2.96
Roofdeck condo in the heart of Bucktown,Logan Square,41.91890786,-87.67803129,Entire home/apt,1,$200.00,$200.00,0,,
Cozy 2 Bedroom Logan Square apt near train,Logan Square,41.91562165,-87.70378015,Entire home/apt,1,$65.00,$65.00,68,06/05/2017,8.76
Single Family Home in Bucktown with Back Yard,Logan Square,41.91546237,-87.67122174,Entire home/apt,1,$475.00,$475.00,0,,
Relaxed Bucktown/Wicker Park 1B Apt,Logan Square,41.91548257,-87.67450704,Entire home/apt,1,$99.00,$99.00,113,04/04/2017,3.13
Logan Square Garden 1 Bedroom,Logan Square,41.92279658,-87.71073688,Entire home/apt,2,$95.00,$47.50,21,09/04/2017,1.9
Minimalist Apartment on the Boulevard,Logan Square,41.92754311,-87.69785941,Private room,1,$60.00,$60.00,3,07/05/2017,3
Bucktown Oasis,Logan Square,41.92459304,-87.68319707,Entire home/apt,2,$125.00,$62.50,14,07/05/2017,2.26
Cozy Upstairs Room,Logan Square,41.91879017,-87.68754035,Private room,1,$35.00,$35.00,100,23/04/2017,3.75
Adorable house in Logan Square!,Logan Square,41.92721382,-87.69732768,Entire home/apt,2,$275.00,$137.50,5,03/04/2017,0.24
Stylish House close to Train and Downtown Chicago,Logan Square,41.92920366,-87.72489233,Private room,2,$60.00,$30.00,4,19/03/2017,1.64
Modern Logan Square Greystone,Logan Square,41.91509137,-87.69390123,Entire home/apt,2,$125.00,$62.50,109,30/04/2017,3.23
"Logan Sq. clean,safe,fun neighborhd",Logan Square,41.91759375,-87.70217755,Entire home/apt,1,$65.00,$65.00,27,07/05/2017,2.78
3BR Gut Rehab in Hot Bucktown Area,Logan Square,41.91511839,-87.68932646,Entire home/apt,1,$195.00,$195.00,42,09/04/2017,3.65
Private Bucktown Flat! Welcome!,Logan Square,41.91890431,-87.69077114,Entire home/apt,2,$85.00,$42.50,80,01/05/2017,5.24
Logan Square gem! Parking included,Logan Square,41.9184236,-87.69745499,Entire home/apt,3,$100.00,$33.33,45,07/05/2017,3.13
Private room in Logan Square,Logan Square,41.92646609,-87.7112338,Private room,1,$60.00,$60.00,0,,
Private room in Logan Square #2,Logan Square,41.92860547,-87.71315711,Private room,1,$60.00,$60.00,0,,
Logan Square 3 BED/2 BATH 2FL Flat,Logan Square,41.9219022,-87.71011667,Entire home/apt,2,$200.00,$100.00,13,09/10/2016,0.58
Logan Square Luxury Condo,Logan Square,41.92410445,-87.70589829,Entire home/apt,3,$200.00,$66.67,28,07/05/2017,0.77
Wicker Park Queen/Private Bath/Off-street parking,West Town,41.90398192,-87.66566366,Private room,2,$43.00,$21.50,11,08/05/2017,1.03
Beautiful Penthouse in Wicker Park,West Town,41.90368118,-87.67993176,Private room,1,$125.00,$125.00,34,07/05/2017,1.18
Tranquil sunny flat in heart of Wicker Park!,West Town,41.91192822,-87.67680929,Private room,3,$65.00,$21.67,21,31/03/2017,1.86
Lux Private Bedroom Wicker Park Free Parking,West Town,41.9083881,-87.6846362,Private room,2,$75.00,$37.50,16,23/04/2017,1.33
COZY ROOM + FREE PARKING,West Town,41.90429208,-87.6767369,Private room,1,$28.00,$28.00,29,04/05/2017,7.07
Cozy and Inviting Coach House,West Town,41.91010068,-87.69292368,Private room,2,$55.00,$27.50,1,23/10/2016,0.15
Carriage House in Wicker Park,West Town,41.90669496,-87.68282855,Private room,1,$105.00,$105.00,119,23/04/2017,3.03
Room in Ukrainian Village Apt,West Town,41.89926493,-87.69005773,Private room,1,$37.00,$37.00,0,,
"PRIVATE ROOM, FREE PARKING",West Town,41.90225372,-87.67744481,Private room,1,$24.00,$24.00,3,26/02/2017,1.03
Quiet and clean Wicker Park condo - close to train,West Town,41.90843679,-87.67975982,Private room,1,$79.00,$79.00,8,07/05/2017,4
Room in the heart of Wicker Park,West Town,41.90874938,-87.67700821,Private room,1,$60.00,$60.00,0,,
Private room with bathroom - heart of Wicker Park,West Town,41.90581027,-87.66933416,Private room,1,$73.00,$73.00,0,,
Private Floor in Ukrainian Village,West Town,41.89541305,-87.67747194,Private room,1,$52.00,$52.00,56,05/05/2017,7.21
"Maitri Chicago Creative, Mindful and Progressive.",West Town,41.91177829,-87.68853147,Private room,1,$75.00,$75.00,7,16/04/2017,1.57
Private Bed & Bath near Blue Line,West Town,41.89900296,-87.66549934,Private room,2,$65.00,$32.50,6,30/04/2017,3.16
Serene Humboldt Getaway w/Roof Deck,West Town,41.8993157,-87.70570664,Private room,1,$65.00,$65.00,22,16/04/2017,1.09
Master Suite in Great modern townhouse - RiverWest,West Town,41.89365725,-87.65288425,Private room,2,$95.00,$47.50,1,07/05/2017,1
Private Room near Wicker Park,West Town,41.89854375,-87.67446623,Private room,1,$70.00,$70.00,108,24/04/2017,2.2
Clean Room in Ukranian Village,West Town,41.89958809,-87.69677503,Private room,1,$45.00,$45.00,1,30/03/2017,0.71
"Wicker park shared apt. Private bedroom,",West Town,41.90840153,-87.68893769,Private room,1,$75.00,$75.00,0,,
Private Master Suite in Sunny Condo,West Town,41.89999345,-87.6608408,Private room,1,$99.00,$99.00,7,16/10/2016,0.87
Trendy Space (Ukrainian Village),West Town,41.89876726,-87.68851065,Private room,1,$52.00,$52.00,31,09/05/2017,1.63
"Enormous Loft w Priv. Living Room, Bedroom & Bath",West Town,41.89972843,-87.66151859,Private room,1,$90.00,$90.00,16,07/11/2016,1.49
Distinctive attic bedroom,West Town,41.90702545,-87.68265335,Private room,1,$86.00,$86.00,0,,
Cozy & Trendy Apartment--Wicker Park/Noble Square!,West Town,41.90480155,-87.66509079,Private room,2,$58.00,$29.00,2,30/04/2017,2
Spacious Affordable Luxury Clean Wicker Park Condo,West Town,41.90374352,-87.67521423,Private room,1,$60.00,$60.00,69,23/04/2017,7.14
Quiet & Private bedroom near it all,West Town,41.90676378,-87.68880012,Private room,2,$55.00,$27.50,21,07/05/2017,1.03
Cozy room in Charming Apartment,West Town,41.91078934,-87.68745794,Private room,2,$49.00,$24.50,68,16/04/2017,1.55
"Cozy, Friendly Apartment in West Town",West Town,41.91090788,-87.6910696,Private room,1,$50.00,$50.00,23,07/05/2017,3.58
Sunny West Town/Humboldt Space,West Town,41.90091879,-87.69237966,Private room,3,$70.00,$23.33,15,01/05/2017,0.75
Guest BR in the Ukrainian Village,West Town,41.89772543,-87.69425371,Private room,2,$42.00,$21.00,41,24/04/2017,3.77
Rent room in a modern Condo,West Town,41.89323622,-87.65993037,Private room,3,$88.00,$29.33,19,23/04/2017,1.61
Wicker park two bedroom,West Town,41.90723641,-87.66696317,Entire home/apt,1,$180.00,$180.00,14,24/04/2017,3.23
Private Bedroom with Your Own Bathroom!,West Town,41.8991712,-87.69237554,Private room,1,$100.00,$100.00,0,,
Cozy Room in Hideaway Coach House,West Town,41.91222987,-87.68659566,Private room,2,$59.00,$29.50,9,27/02/2017,0.73
Wicker Park - Contemporary Escape,West Town,41.90764508,-87.66960032,Entire home/apt,1,$150.00,$150.00,47,16/04/2017,3.88
Your Home Away from Home! dos!,West Town,41.89421592,-87.67448292,Private room,2,$79.00,$39.50,0,,
1 Bedroom Apartment -Noble Square,West Town,41.89272704,-87.65653716,Entire home/apt,4,$115.00,$28.75,80,05/04/2017,1.18
"Modern penthouse, rooftop, skyline by Harvard Grad",West Town,41.89526451,-87.69555608,Private room,1,$82.00,$82.00,2,03/05/2017,2
"Spacious, 2BR Duplex Top Floor!",West Town,41.9034926,-87.69280871,Entire home/apt,2,$125.00,$62.50,32,17/04/2016,0.98
Top Unit 2 bedroom Wicker Park with Rooftop,West Town,41.90498874,-87.66447438,Entire home/apt,1,$175.00,$175.00,0,,
Unique Loft- Chicago Ave in West Town-East Village,West Town,41.89743455,-87.67028192,Entire home/apt,2,$95.00,$47.50,24,30/03/2017,2.26
Noble Square 2BR Apt - Where you want to be!,West Town,41.89934118,-87.6664779,Entire home/apt,1,$79.00,$79.00,2,04/05/2017,2
West Town Spacious & Modern Skyline View Penthouse,West Town,41.89954094,-87.6673496,Entire home/apt,2,$99.00,$49.50,7,07/05/2017,4.77
Wicker Park - Vintage 1br,West Town,41.91070579,-87.66818472,Entire home/apt,2,$70.00,$35.00,21,23/04/2017,1.26
"Big, Bold & Modern 2BR Retreat Close to it All",West Town,41.89788411,-87.6667109,Entire home/apt,2,$99.00,$49.50,6,30/04/2017,3.4
Duplex Down in Wicker Park,West Town,41.90396312,-87.66241635,Entire home/apt,1,$400.00,$400.00,0,,
Woodsman's Gallery/Stunning Views!,West Town,41.89648365,-87.65651338,Entire home/apt,1,$339.00,$339.00,165,30/04/2017,4.3
Private room w/ attached bathroom,West Town,41.89036667,-87.67298438,Private room,2,$70.00,$35.00,3,13/11/2016,0.27
"Sky Lights, Big City",West Town,41.89232207,-87.6679228,Private room,2,$85.00,$42.50,0,,
Spring into spacious West Town apt!,West Town,41.89553044,-87.66265822,Private room,1,$80.00,$80.00,1,23/04/2017,1
Vintage Ukrainian Village Flat,West Town,41.90026634,-87.68054559,Entire home/apt,3,$129.00,$43.00,95,06/12/2016,2.48
Amazing Penthouse Skyline Views!,West Town,41.90897924,-87.67488995,Entire home/apt,2,$450.00,$225.00,57,07/05/2017,3.15
Private room & bathroom in Noble Sq / Wicker Pk,West Town,41.90149799,-87.66299125,Private room,1,$127.00,$127.00,3,16/10/2016,0.38
Family-Friendly 3-Bedroom Apartment,West Town,41.90659218,-87.6953817,Entire home/apt,1,$119.00,$119.00,186,13/04/2017,3.79
Fantastic flat in West Town,West Town,41.89868798,-87.67048955,Entire home/apt,2,$99.00,$49.50,71,24/04/2017,3.97
Amazing Location. Ultimate Savings.,West Town,41.90433978,-87.67109823,Entire home/apt,1,$50.00,$50.00,37,01/05/2017,2.3
Conveniently Located 2 Bedroom Condo in Chicago,West Town,41.90349397,-87.66190857,Entire home/apt,2,$150.00,$75.00,1,07/05/2017,1
Bright Artsy Cool Wicker Park Apartment Sleeps 4,West Town,41.91082267,-87.68589201,Entire home/apt,2,$124.00,$62.00,0,,
The Perfect Wicker Park Studio,West Town,41.91200267,-87.6776005,Entire home/apt,2,$90.00,$45.00,155,01/05/2017,4.97
Entire Loft / Vibrant Area,West Town,41.89869251,-87.67500748,Entire home/apt,2,$175.00,$87.50,47,09/05/2017,1.75
"4Br Blue Line ""L"" 90/94 Duplex Down",West Town,41.89112016,-87.65958988,Entire home/apt,2,$250.00,$125.00,43,04/05/2017,2.1
Oakley Bells,West Town,41.89933608,-87.68442697,Entire home/apt,2,$85.00,$42.50,80,01/01/2017,1.8
iKlektik House // Cardinal,West Town,41.8948176,-87.68643801,Entire home/apt,2,$99.00,$49.50,162,02/05/2017,4.02
"Great Location! | Steps from Shops, Train, Uber",West Town,41.90290686,-87.66624414,Entire home/apt,4,$94.00,$23.50,7,02/05/2017,1.04
Chicago duplex-perfect for groups!,West Town,41.89985924,-87.68030308,Entire home/apt,3,$299.00,$99.67,61,07/05/2017,1.93
"Huge, Rad Room WITH LAUNDRY! Ideal for long-term!",West Town,41.90026752,-87.69763468,Private room,1,$75.00,$75.00,53,09/04/2017,1
Vintage 2 br. in East Humboldt,West Town,41.90823456,-87.69263564,Entire home/apt,2,$100.00,$50.00,2,23/07/2016,0.2
Private Bedroom in New Apartment,West Town,41.89658148,-87.69555587,Private room,1,$89.00,$89.00,2,28/10/2016,0.26
Cute and cozy unit w/exposed brick,West Town,41.89419108,-87.67857033,Private room,1,$50.00,$50.00,10,07/05/2017,1.55
Cute convenient Wicker Park 1BR,West Town,41.90884915,-87.66785034,Entire home/apt,3,$110.00,$36.67,3,08/05/2017,3
"Rest, Relax and Explore",West Town,41.89686555,-87.67988892,Private room,4,$69.00,$17.25,36,07/11/2016,0.5
Cozy apartment minutes from EVERYTHING :),West Town,41.89316139,-87.64815952,Entire home/apt,3,$150.00,$50.00,16,17/04/2017,2.05
2 Bedroom Apartment in West Town,West Town,41.89452261,-87.66561005,Entire home/apt,2,$75.00,$37.50,33,02/05/2017,2.64
Wicker Park- Ideal Location,West Town,41.90695192,-87.68394075,Private room,1,$75.00,$75.00,4,29/06/2016,0.29
3Bed/2bath Penthouse Condo in Wicker Park,West Town,41.90799879,-87.67128979,Entire home/apt,1,$160.00,$160.00,1,15/04/2017,1
West Town Traveler's Lodge,West Town,41.90064407,-87.67056039,Entire home/apt,1,$119.00,$119.00,201,08/05/2017,8.48
Secret Garden | West Town|Noble Square|Wicker Park,West Town,41.90063134,-87.66315756,Entire home/apt,2,$99.00,$49.50,6,12/04/2017,0.97
West Town/Noble Square with an Outdoor Area,West Town,41.89556253,-87.66046543,Entire home/apt,2,$118.00,$59.00,33,06/05/2017,3.63
Vintage 2bd in heart of Wicker Park,West Town,41.90612741,-87.67385911,Entire home/apt,1,$80.00,$80.00,28,23/04/2017,2.81
Wicker Park Loft,West Town,41.90761025,-87.67332021,Entire home/apt,1,$105.00,$105.00,156,21/04/2017,6.84
Huge Loft with Rooftop in Riverwest,West Town,41.89384553,-87.65483815,Entire home/apt,2,$600.00,$300.00,37,30/04/2017,2.81
Amazing Wicker Park Warehouse!!!!,West Town,41.90306754,-87.67323566,Entire home/apt,3,$250.00,$83.33,34,07/05/2017,1.53
STUDIO CLOSE TO DOWNTOWN & BUCKTOWN,West Town,41.90013304,-87.69838294,Private room,1,$46.00,$46.00,0,,
Modern 2B/1BA in West Town,West Town,41.89824273,-87.69387805,Entire home/apt,2,$75.00,$37.50,13,06/05/2017,4.11
Ukrainian Village Abode!,West Town,41.89824179,-87.69038833,Entire home/apt,1,$70.00,$70.00,1,07/05/2017,1
Garage & Quiet bed/bath/den,West Town,41.89490854,-87.66810774,Private room,2,$110.00,$55.00,17,22/10/2016,0.76
"Amazing 2BR, 2BTH in Wicker Park!",West Town,41.9028941,-87.67292939,Entire home/apt,1,$200.00,$200.00,7,09/04/2017,0.74
Studio close to everything!,West Town,41.90832252,-87.69444473,Entire home/apt,1,$70.00,$70.00,9,06/11/2016,0.48
BEST River West Chicago Apartment,West Town,41.89687029,-87.65715366,Entire home/apt,1,$119.00,$119.00,0,,
Wicker Park/Bucktown 2 bedroom/3 baths,West Town,41.90808097,-87.66291463,Entire home/apt,2,$235.00,$117.50,0,,
Modern/Spacious 2BR/2BA West Town,West Town,41.90036041,-87.69331519,Entire home/apt,3,$150.00,$50.00,68,16/04/2017,2.71
"Guest suite / modern townhouse, hot RiverWest area",West Town,41.89504136,-87.65307637,Private room,2,$71.00,$35.50,1,25/04/2017,1
Jumbo 4br in the Wicker/Ukranian,West Town,41.9043905,-87.68212164,Entire home/apt,3,$300.00,$100.00,20,20/10/2016,0.48
❤ of Wicker Park|Sleeps 14 |Steam Shower| 2-Levels,West Town,41.90483639,-87.67997773,Entire home/apt,1,$135.00,$135.00,31,07/05/2017,4.06
Whit's Place in East Village,West Town,41.89949047,-87.67528264,Entire home/apt,2,$179.00,$89.50,22,26/04/2017,3.06
Two apartments in the same building,West Town,41.89972062,-87.6805391,Entire home/apt,3,$599.00,$199.67,10,26/04/2017,0.79
Entire gorgeous apartment in Ukranian Village,West Town,41.89752908,-87.69648306,Entire home/apt,3,$112.00,$37.33,0,,
Modern + Cozy Family-Friendly Home,West Town,41.9028333,-87.69207251,Entire home/apt,1,$450.00,$450.00,4,30/04/2017,0.62
Big Cozy Apartment with View of Humboldt Park!,West Town,41.90321177,-87.69774109,Entire home/apt,2,$350.00,$175.00,0,,
Spacious Duplex Apartment with Private Terrace!,West Town,41.89314875,-87.68033274,Entire home/apt,7,$65.00,$9.29,16,25/03/2017,0.29
"Art Loft, Ukrainian Village/West Town",West Town,41.89140813,-87.68675182,Entire home/apt,2,$200.00,$100.00,13,09/04/2017,3.82
Gorgeous Apartment in Chicago,West Town,41.90094213,-87.68367818,Entire home/apt,2,$211.00,$105.50,38,02/08/2016,1.07
Brand New Duplex Humboldt / Ukrainian border,West Town,41.90126812,-87.69164684,Entire home/apt,3,$200.00,$66.67,1,27/11/2016,0.18
Lovely 2 bdrm Apt in Chicago's Ukrainian Village,West Town,41.89223512,-87.68292532,Entire home/apt,2,$82.00,$41.00,9,07/05/2017,3.97
Cozy 4B Wicker Park Home - Fireplace and Foosball!,West Town,41.91080019,-87.67547142,Entire home/apt,1,$399.00,$399.00,8,25/04/2017,1.73
Sunny and Spacious Condo,West Town,41.90587841,-87.69030324,Entire home/apt,1,$220.00,$220.00,1,25/09/2016,0.13
"Cozy, Charming Apartment in Ukrainian Village",West Town,41.89676651,-87.68119781,Entire home/apt,2,$120.00,$60.00,4,16/10/2016,0.51
Sunny 2bd Flat: Location! Location! Wicker Park,West Town,41.91178038,-87.67634984,Entire home/apt,2,$175.00,$87.50,3,03/01/2017,0.29
Beautiful Home in Wicker Park,West Town,41.90528687,-87.68346941,Entire home/apt,1,"$1,500.00","$1,500.00",20,30/07/2016,0.41
bright and spacious Ukrainian Village,West Town,41.89697415,-87.6765484,Entire home/apt,2,$107.00,$53.50,12,09/05/2017,4.62
Spacious One Bedroom in Ukrainian Village,West Town,41.9003875,-87.69194517,Entire home/apt,1,$120.00,$120.00,9,22/04/2017,1.09
Center of the Universe,West Town,41.9096327,-87.67643172,Entire home/apt,2,$200.00,$100.00,0,,
Comfortable futon!,West Town,41.897675,-87.6632742,Shared room,1,$28.00,$28.00,26,01/05/2017,2.27
Chicago's Hot Ukrainian Village! Entire 2 Bed Apt!,West Town,41.89242541,-87.68078222,Entire home/apt,7,$65.00,$9.29,23,23/02/2017,0.42
HIP + MODERN LUXURY + WICKER PARK,West Town,41.91214833,-87.67764184,Entire home/apt,2,$200.00,$100.00,1,09/05/2017,1
"Bright, spacious sanctuary duplex, modern hacienda",West Town,41.8903866,-87.68407094,Entire home/apt,3,$92.00,$30.67,2,28/03/2017,0.82
Spacious 2BR conenviently located,West Town,41.89630747,-87.69998813,Entire home/apt,1,$99.00,$99.00,27,30/10/2016,1.32
Spacious Duplex Condo Min From Loop,West Town,41.90150157,-87.69493703,Entire home/apt,2,$307.00,$153.50,14,30/04/2017,1.44
Ukrainian Village Studio with Italian Charm,West Town,41.89672295,-87.681022,Entire home/apt,2,$88.00,$44.00,8,30/04/2017,2.53
Your Entire Home Away from Home!,West Town,41.89461166,-87.67571223,Entire home/apt,2,$175.00,$87.50,0,,
CHARMING NEIGHBORHOOD 2BR APT!,West Town,41.893512,-87.67486192,Entire home/apt,2,$149.00,$74.50,74,07/05/2017,3.29
Chicago Skyline View Condo w/ FREE garage parking,West Town,41.8916468,-87.65712603,Entire home/apt,2,$200.00,$100.00,6,24/04/2017,0.73
"Wicker Park  Chicago, IL entire 2BD",West Town,41.89710499,-87.67097725,Entire home/apt,1,$148.00,$148.00,37,23/10/2016,1.84
City registration pending,West Town,41.90487586,-87.68089207,Entire home/apt,2,$119.00,$59.50,0,,
Large condo in Chicago's West Town,West Town,41.89499066,-87.6580046,Entire home/apt,2,$215.00,$107.50,7,04/12/2016,0.34
West Town Apartment - City's Best Location,West Town,41.89223324,-87.65874173,Entire home/apt,2,$77.00,$38.50,42,03/05/2017,3.91
Sweet Home Chicago 4 Bedroom/2 Bath,West Town,41.89293738,-87.65865167,Entire home/apt,1,$215.00,$215.00,58,30/04/2017,2.57
iKlektik House // Blue Jay,West Town,41.89425296,-87.68467553,Entire home/apt,2,$99.00,$49.50,109,23/04/2017,2.99
West Town 4BR duplex sleeps 10 - Great location!,West Town,41.89934617,-87.66678216,Entire home/apt,2,$149.00,$74.50,3,07/05/2017,2.09
Beautiful & Highly Rated!,West Town,41.90138041,-87.6733493,Entire home/apt,3,$250.00,$83.33,26,19/03/2017,1.03
Futon Steps Away From 6 Corners,West Town,41.91055699,-87.6776788,Shared room,1,$30.00,$30.00,131,23/04/2017,7.51
COZY TOP BUNK in WINDY CITY!,West Town,41.90704347,-87.69002515,Shared room,1,$29.00,$29.00,19,06/05/2017,2.92
"Turquoise Wonder - Clean, Cozy & Stylish Apt",West Town,41.89634118,-87.69195741,Entire home/apt,2,$89.00,$44.50,53,01/05/2017,4.61
"Full, Detached, 2bd/2.5 bth House in Westown!",West Town,41.89963907,-87.69298789,Entire home/apt,2,$200.00,$100.00,4,07/05/2017,1.52
COMFY BOTTOM BUNK in WINDY CITY!,West Town,41.90701249,-87.68934839,Shared room,1,$39.00,$39.00,15,01/05/2017,2.1
COMFY BOTTOM BUNK 2,West Town,41.90694229,-87.69147744,Shared room,1,$49.00,$49.00,5,19/02/2017,0.78
Spacious & refined unit in a vintage building,West Town,41.90016625,-87.69662958,Entire home/apt,2,$95.00,$47.50,21,07/05/2017,1.85
Sunny Pad in heart of West Town 3,West Town,41.89678378,-87.68937711,Entire home/apt,1,$140.00,$140.00,65,23/04/2017,3.5
Unique Designer Home in Ukrainian Village,West Town,41.8979799,-87.67877879,Entire home/apt,1,$120.00,$120.00,12,02/04/2017,1.46
Beautiful Studio in West Loop,West Town,41.8890424,-87.64578894,Entire home/apt,1,$150.00,$150.00,2,09/05/2017,0.24
1 BR Bucktown/Wicker Park Apt. - Great Location,West Town,41.91164762,-87.67486264,Entire home/apt,2,$125.00,$62.50,23,05/05/2017,2.32
In Hip Ukrainian Village/ Wicker pk,West Town,41.89980486,-87.6820446,Entire home/apt,2,$159.00,$79.50,13,18/10/2016,0.94
Beautiful 2Bed2Bath @West town,West Town,41.89393461,-87.66710687,Entire home/apt,2,$149.00,$74.50,16,05/01/2017,1.36
Attractive WestTown Mdrn 2bd/2bth,West Town,41.89453199,-87.67975863,Entire home/apt,2,$98.00,$49.00,81,12/03/2017,2.87
