name,neighbourhood,latitude,longitude,room_type,minimum_nights,price,price_per_night,number_of_reviews,last_review,reviews_per_month
Large One Bedroom in Lincoln Square,Lincoln Square,41.96160169,-87.69429528,Entire home/apt,2,$95.00,$47.50,35,15/04/2017,2.45
Great unit in Ravenswood. Steps away from train!,Lincoln Square,41.96682612,-87.67896255,Entire home/apt,3,$112.00,$37.33,35,01/05/2017,1.23
Private suite in Lincoln Square,Lincoln Square,41.97149627,-87.69706888,Entire home/apt,2,$85.00,$42.50,71,01/05/2017,3
City at your fingertips - explore and relax!,Lincoln Square,41.96940561,-87.69603306,Entire home/apt,2,$53.00,$26.50,12,06/05/2017,4.5
Quirky and Comfy in Chicago!,Lincoln Square,41.96396767,-87.68607291,Entire home/apt,2,$100.00,$50.00,7,28/12/2016,0.4
Winchester Private Studio Apartment,Lincoln Square,41.97142487,-87.67634946,Entire home/apt,2,$102.00,$51.00,40,30/04/2017,1.61
Clean Convenient room in Ravenswood,Lincoln Square,41.96467376,-87.6758344,Private room,2,$60.00,$30.00,6,07/05/2017,3
Lovely 2 bedroom in Lincoln Square ,Lincoln Square,41.97846957,-87.68086543,Entire home/apt,4,$95.00,$23.75,116,03/04/2017,2.5
Tree-Top Oasis: 3BR + Garage in Lincoln Square,Lincoln Square,41.96318071,-87.67975911,Entire home/apt,2,$175.00,$87.50,38,05/05/2017,3.09
Charming Entire Home in Lincoln Square,Lincoln Square,41.97349805,-87.69647199,Entire home/apt,2,$150.00,$75.00,5,17/08/2016,0.43
Private Bedroom & Full Bathroom in Lincoln Square,Lincoln Square,41.96843237,-87.68298267,Private room,1,$89.00,$89.00,40,05/05/2017,2.08
Very Spacious Mid-Century Gem,Lincoln Square,41.97342361,-87.6963512,Entire home/apt,1,$250.00,$250.00,43,06/05/2017,1.78
Vintage apartment Lincoln Square,Lincoln Square,41.97784079,-87.69541294,Entire home/apt,2,$86.00,$43.00,13,06/05/2017,4.48
Lincoln square house (Mizell),Lincoln Square,41.9703074,-87.6927285,Entire home/apt,1,$280.00,$280.00,0,,
NEW! Modern 2.5BD in Andersonville,Lincoln Square,41.97696034,-87.68026472,Entire home/apt,1,$175.00,$175.00,15,01/05/2017,2.21
Spacious 3 Bed/2 Bath Near Downtown,Lincoln Square,41.96903752,-87.69664898,Entire home/apt,3,$115.00,$38.33,26,23/04/2017,2.21
Two private rooms in Lincoln Square,Lincoln Square,41.97319591,-87.6968227,Private room,1,$75.00,$75.00,18,15/04/2017,1.06
Private Bathroom - Beautiful Lincoln Square House,Lincoln Square,41.97046649,-87.68396979,Private room,2,$50.00,$25.00,9,19/03/2017,1.7
Chicago Oasis,Lincoln Square,41.96818281,-87.681017,Entire home/apt,2,$100.00,$50.00,3,17/04/2016,0.21
Private Room in Albany Park,Lincoln Square,41.97050201,-87.69945764,Private room,1,$40.00,$40.00,0,,
Chicago Oasis - Beautiful Private Room and Bath,Lincoln Square,41.97044744,-87.68253818,Private room,1,$65.00,$65.00,40,30/04/2017,2.85
Charming rustic Railcar apt,Lincoln Square,41.97124815,-87.68151146,Private room,1,$55.00,$55.00,1,08/04/2017,0.91
"Charming, Spacious Studio- off Brown Line",Lincoln Square,41.97367681,-87.67805006,Entire home/apt,1,$83.00,$83.00,36,25/04/2017,2.28
Sunny apartment  in Lincoln Square,Lincoln Square,41.9674842,-87.69774799,Private room,1,$85.00,$85.00,37,17/12/2016,0.77
Charming Ravenswood Condo near the Brown Line,Lincoln Square,41.96850405,-87.68137786,Entire home/apt,2,$200.00,$100.00,23,30/04/2017,1.09
Attractive apt in Lincoln Sq home,Lincoln Square,41.9709054,-87.69910105,Entire home/apt,1,$130.00,$130.00,109,07/05/2017,2.9
Spacious sunlit vintage 2 bed flat,Lincoln Square,41.97492741,-87.67930657,Entire home/apt,5,$135.00,$27.00,0,,
Entire Home in Lincoln Square,Lincoln Square,41.97015719,-87.68490944,Entire home/apt,1,$125.00,$125.00,12,09/04/2017,1.74
Grand Duplex for 8 in Chicago!,Lincoln Square,41.98220608,-87.69591548,Entire home/apt,2,$165.00,$82.50,54,30/04/2017,3.06
New Townhouse in Lincoln Square,Lincoln Square,41.97368961,-87.6932113,Private room,2,$70.00,$35.00,19,08/05/2017,1.65
Elegant vintage room in Ravenswood,Lincoln Square,41.96501577,-87.68109078,Private room,1,$73.00,$73.00,27,22/04/2017,2.49
Lovely 2BR / 1 BA Condo in Chicago,Lincoln Square,41.97633855,-87.68673401,Entire home/apt,2,$125.00,$62.50,35,30/04/2017,4.22
Cozy Garden-Subterranean Apartment,Lincoln Square,41.96292843,-87.69358112,Entire home/apt,2,$80.00,$40.00,91,01/05/2017,2.44
Chez Peg,Lincoln Square,41.97457249,-87.67588875,Private room,2,$55.00,$27.50,23,01/05/2017,1.95
Private Lincoln Square Garden Apt,Lincoln Square,41.96713685,-87.69610722,Entire home/apt,2,$100.00,$50.00,180,10/04/2017,3.05
Cozy Unique Large Private Room Lincoln Square,Lincoln Square,41.96809712,-87.6902633,Private room,2,$50.00,$25.00,0,,
"Chicago Sunroom, next 2 trains",Lincoln Square,41.96267488,-87.68217778,Private room,1,$45.00,$45.00,21,26/03/2017,1.86
Cozy condo in Lincoln Square,Lincoln Square,41.97881684,-87.68925654,Entire home/apt,3,$85.00,$28.33,10,08/05/2017,1.2
Spacious Room in an Elegant Condo,Lincoln Square,41.96811348,-87.69570703,Private room,2,$90.00,$45.00,28,27/06/2016,0.63
Cozy and Quiet 1BD in Ravenswood,Lincoln Square,41.9728223,-87.67561766,Entire home/apt,2,$85.00,$42.50,4,12/08/2015,0.16
"Spacious, sunny apartment in Ravenswood.",Lincoln Square,41.97043734,-87.67429182,Private room,1,$200.00,$200.00,10,02/07/2016,0.32
"Luxury, Comfort & Convenience in Lincoln Square",Lincoln Square,41.96684431,-87.69561357,Entire home/apt,2,$142.00,$71.00,1,08/05/2017,1
