name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month
Lincoln square house (Mizell),41.9703074,-87.6927285,Entire home/apt,280,1,0,,
NEW! Modern 2.5BD in Andersonville,41.97696034,-87.68026472,Entire home/apt,175,1,15,01/05/2017,2.21
Spacious 3 Bed/2 Bath Near Downtown,41.96903752,-87.69664898,Entire home/apt,115,3,26,23/04/2017,2.21
Two private rooms in Lincoln Square,41.97319591,-87.6968227,Private room,75,1,18,15/04/2017,1.06
Private Bathroom - Beautiful Lincoln Square House,41.97046649,-87.68396979,Private room,50,2,9,19/03/2017,1.70
Chicago Oasis,41.96818281,-87.681017,Entire home/apt,100,2,3,17/04/2016,0.21
Private Room in Albany Park,41.97050201,-87.69945764,Private room,40,1,0,,
Chicago Oasis - Beautiful Private Room and Bath,41.97044744,-87.68253818,Private room,65,1,40,30/04/2017,2.85
Charming rustic Railcar apt,41.97124815,-87.68151146,Private room,55,1,1,08/04/2017,0.91
"Charming, Spacious Studio- off Brown Line",41.97367681,-87.67805006,Entire home/apt,83,1,36,25/04/2017,2.28
Sunny apartment  in Lincoln Square,41.9674842,-87.69774799,Private room,85,1,37,17/12/2016,0.77
Charming Ravenswood Condo near the Brown Line,41.96850405,-87.68137786,Entire home/apt,200,2,23,30/04/2017,1.09
Attractive apt in Lincoln Sq home,41.9709054,-87.69910105,Entire home/apt,130,1,109,07/05/2017,2.90
Spacious sunlit vintage 2 bed flat,41.97492741,-87.67930657,Entire home/apt,135,5,0,,
Entire Home in Lincoln Square,41.97015719,-87.68490944,Entire home/apt,125,1,12,09/04/2017,1.74
Grand Duplex for 8 in Chicago!,41.98220608,-87.69591548,Entire home/apt,165,2,54,30/04/2017,3.06
New Townhouse in Lincoln Square,41.97368961,-87.6932113,Private room,70,2,19,08/05/2017,1.65
Elegant vintage room in Ravenswood,41.96501577,-87.68109078,Private room,73,1,27,22/04/2017,2.49
Lovely 2BR / 1 BA Condo in Chicago,41.97633855,-87.68673401,Entire home/apt,125,2,35,30/04/2017,4.22
Cozy Garden-Subterranean Apartment,41.96292843,-87.69358112,Entire home/apt,80,2,91,01/05/2017,2.44
Chez Peg,41.97457249,-87.67588875,Private room,55,2,23,01/05/2017,1.95
Private Lincoln Square Garden Apt,41.96713685,-87.69610722,Entire home/apt,100,2,180,10/04/2017,3.05
Cozy Unique Large Private Room Lincoln Square,41.96809712,-87.6902633,Private room,50,2,0,,
"Chicago Sunroom, next 2 trains",41.96267488,-87.68217778,Private room,45,1,21,26/03/2017,1.86
Cozy condo in Lincoln Square,41.97881684,-87.68925654,Entire home/apt,85,3,10,08/05/2017,1.20
Spacious Room in an Elegant Condo,41.96811348,-87.69570703,Private room,90,2,28,27/06/2016,0.63
Cozy and Quiet 1BD in Ravenswood,41.9728223,-87.67561766,Entire home/apt,85,2,4,12/08/2015,0.16
"Spacious, sunny apartment in Ravenswood.",41.97043734,-87.67429182,Private room,200,1,10,02/07/2016,0.32
"Luxury, Comfort & Convenience in Lincoln Square",41.96684431,-87.69561357,Entire home/apt,142,2,1,08/05/2017,1.00
Lincoln Square Apartment,41.96786398,-87.68569856,Entire home/apt,195,3,12,07/05/2017,0.66
Entire Two Bedroom Condo,41.97489789,-87.6900625,Entire home/apt,94,1,68,07/05/2017,4.85
Great private room!  Near Lincoln Square,41.97204762,-87.69619014,Private room,40,1,1,31/12/2016,0.23
"3bd, 2ba Spacious Lincoln Square apt. w/Parking",41.97641889,-87.69174181,Entire home/apt,205,1,17,09/05/2017,2.37
Entire 3BR 2BA Lincoln Square Condo with Parking,41.97638326,-87.69683175,Entire home/apt,85,1,12,07/05/2017,6.32
Chicago 2 Bedroom Condo,41.9729372,-87.69583443,Entire home/apt,180,2,11,06/11/2016,0.65
Private room/bath in Hyde Park,41.80067724,-87.6042097,Private room,65,1,31,06/05/2017,2.32
One bedroom/bath historic Hyde Park,41.79822037,-87.59989149,Private room,70,1,30,29/04/2017,3.81
Don't You Deserve a Lil Pampering? Lush Bed Awaits,41.79898995,-87.58972592,Private room,59,1,88,24/04/2017,3.47
Hyde Park Row House,41.79676998,-87.60356061,Entire home/apt,140,3,6,23/04/2017,0.64
Vintage HydePark condo,41.80054176,-87.59809883,Private room,70,2,25,06/11/2016,1.06
Convenient and Cozy One Bedroom in Hyde Park,41.79593507,-87.58817596,Entire home/apt,42,2,3,23/04/2017,0.67
Hyde Park Spacious Apartment,41.80174147,-87.60017585,Entire home/apt,110,2,5,01/05/2017,2.50
Hyde Park Rooms2,41.80173577,-87.59289723,Private room,45,2,40,16/10/2016,1.15
1 Bedroom in Hyde Park,41.79536985,-87.58279167,Entire home/apt,120,1,19,14/04/2017,1.58
"Artful Comforts in the Hyde Park, close to University and Hospital",41.79680982,-87.59664609,Entire home/apt,60,1,12,02/05/2017,1.71
Hyde Park One Bdrm Apt ($85/night for 31 days),41.80027776,-87.5936031,Entire home/apt,95,7,19,11/03/2017,0.51
2 A Walk in Hyde Park,41.79554928,-87.59174205,Private room,37,2,34,11/03/2017,1.09
